longitud,latitud,distrito,poblacion
-84.837799,09.976290,Puntarenas,8335
-84.824753,10.04323,Pitahaya,2211
-84.906467,10.04464,Chomes,5522
-85.027973,09.955017,Lepanto,9502
-84.935646,09.819528,Paquera,6608
-84.847141,10.20913,Guacimal,923
-84.703989,09.986011,Barranca,30644
-84.822779,10.302844,Monte Verde,4155
-85.117893,09.681131,Cóbano,7491
-84.769564,09.984489,Chacarita,17434
-85.155888,10.099431,Chira,1576
-84.826526,10.116152,Acapulco,1296
-84.733104,09.978209,El Roble,15759
-84.722492,10.203394,Arancibia,665
-84.666728,09.989964,Espíritu Santo,30000
-84.642202,09.972264,San Juan Grande,6171
-84.631022,10.005674,Macacona,4742
-84.634091,10.035077,San Jerónimo,751
-84.606637,09.984459,San Rafael,1294
-84.720608,09.910037,Pto Caldera,544
-83.323651,09.171561,Buenos Aires,21063
-83.448029,09.207595,Volc\341n,3815
-83.175001,09.017252,Potrero Grande,5956
-83.325222,09.003299,Boruca,3074
-83.432501,09.081205,Pilas,1659
-83.393428,09.010727,Colinas,1371
-83.202204,08.937939,Chánguena,2631
-83.450689,09.006911,Biolley,2455
-83.404684,09.168534,Santa Marta de Brunka,3220
-84.729911,10.09334,Miramar,8298
-84.723809,10.155854,La Unión,1249
-84.731337,10.05564,San Isidro,3403
-83.524805,08.961806,Cd Cortés,9000
-83.457553,08.966748,Palmar,9816
-83.472579,08.860903,Sierpe,4205
-83.744138,09.169149,"Uvita, Bahía Ballena",3306
-83.238545,08.779428,Piedras Blancas,4138
-83.645782,08.711529,Bahía Drake,683
-84.162128,09.432590,Quepos,19889
-83.961124,09.333743,Savegre,3326
-84.104686,09.471671,Naranjito,3667
-83.164943,08.638431,Golfito,11268
-83.306034,08.532659,Puerto Jiménez,8791
-83.460313,08.646311,La Palma de Pto Jiménez,2065
-83.135677,08.394878,Pavón,6159
-83.066769,08.679373,Río Claro,5622
-82.971248,08.821867,San Vito,14839
-82.914775,08.820773,Sabalito,10984
-82.949871,08.779229,Aguabuena,6286
-83.017383,08.831593,Limoncito,3591
-82.949481,08.935168,Pittier,2758
-84.324291,09.522545,Parrita,16010
-82.939449,08.653943,Ciudad Neily,19610
-82.852131,08.489675,La Cuesta,3906
-82.840481,08.549717,Canoas,11527
-82.908535,08.444016,Laurel,9148
-84.622863,09.609400,Jacó,11725
