hostid,hostname,lat,lon,ip
10654,AALA_HNZ,10.0130,-84.2130,163.178.101.124
10655,AANG_HNZ,10.2528,-84.1803,163.178.101.124
10656,AATN_HNZ,9.9774,-84.3840,163.178.101.124
10657,AAZR_HNZ,10.3744,-84.3467,163.178.101.124
10658,ABJT_HNZ,10.2151,-84.2972,163.178.101.124
10659,ACLH_HNZ,11.0288,-84.7110,163.178.101.124
10660,ACLS_HNZ,11.0311,-84.7176,163.178.101.124
10661,ACOY_HNZ,9.9948,-84.2748,163.178.101.124
10662,AFOR_HNZ,10.4718,-84.6434,163.178.101.124
10663,AFRA_HNZ,10.1373,-84.1931,163.178.101.124
10664,AFTN_HNZ,10.4725,-84.6411,163.178.101.124
10665,AGRE_HNZ,10.042034,-84.299771,163.178.101.124
10666,AGRH_HNZ,10.0717,-84.3170,163.178.101.124
10667,AGTS_HNZ,10.6697,-84.8205,163.178.101.124
10668,AHA1_HNZ,10.0075,-84.2111,163.178.101.124
10669,AHA4_HNZ,10.0075,-84.2111,163.178.101.124
10670,AJCR_HNZ,10.3266,-84.4321,163.178.101.124
10671,ALCA_HNZ,10.024686,-84.282139,163.178.101.124
10672,AMTY_HNZ,10.5547,-84.6488,163.178.101.124
10673,AORT_HNZ,9.91181,-84.521718,163.178.101.124
10674,APMR_HNZ,10.058029,-84.431612,163.178.101.124
10675,ARCT_HNZ,10.342890,-84.215945,163.178.101.124
10676,ASCH_HNZ,10.3441,-84.4323,163.178.101.124
10677,ASRH_HNZ,10.0933,-84.4703,163.178.101.124
10678,ASRM_HNZ,10.0867,-84.4784,163.178.101.124
10679,AUPA_HNZ,10.899,-85.0149,163.178.101.124
10680,AUPH_HNZ,10.8934,-85.0002,163.178.101.124
10681,BFB0_HNZ,10.0075,-84.2662,163.178.101.124
10682,BFB1_HNZ,10.0075,-84.2662,163.178.101.124
10683,BFR0_HNZ,10.1373,-84.1931,163.178.101.124
10684,BFR1_HNZ,10.1373,-84.1931,163.178.101.124
10685,BJL0_HNZ,9.840716,-83.889721,163.178.101.124
10686,BJL1_HNZ,9.840716,-83.889721,163.178.101.124
10687,CAVM_HNZ,9.911915,-83.954744,163.178.101.124
10688,CCDN_HNZ,9.83156,-83.918,163.178.101.124
10689,CCHI_HNZ,9.84078,-83.8037,163.178.101.124
10690,CCRT_HNZ,9.86424,-83.9271,163.178.101.124
10691,CORS_HNZ,9.77962,-83.8415,163.178.101.124
10692,CPAR_HNZ,9.82727,-83.8687,163.178.101.124
10693,CSLG_HNZ,9.85985,-83.9238,163.178.101.124
