Periodo,Aceleracion
0.01,0.42500000000000004
0.02,0.42500000000000004
0.03,0.42500000000000004
0.0303,0.42500000000000004
0.04,0.508725
0.05,0.58735
0.06,0.6608749999999999
0.07,0.73015
0.08,0.7960250000000001
0.09,0.85935
0.1,0.9197
0.11,0.97835
0.12,1.034875
0.125,1.0625
0.15,1.0625
0.2,1.0625
0.25,1.0625
0.3,1.0625
0.45,1.0625
0.484,1.0625
0.5,1.0625
0.529,1.0625
0.564,1.0625
0.6,1.0625
0.622,1.0625
0.67,1.0625
0.753,1.0625
0.8,1.000025
1.0,0.79985
1.1,0.727175
1.2,0.666825
1.3,0.6154
1.4,0.5716249999999999
1.5,0.533375
2.0,0.399925
2.5,0.320025
3.0,0.266475
3.365,0.237575
3.904,0.20485
4.0,0.200175
4.286,0.186575
4.749,0.1683
4.903,0.1632
4.932,0.161075
5.0,0.156825
6.0,0.10880000000000001
7.0,0.0799
8.0,0.0612
9.0,0.04845000000000001
10.0,0.0391
