Periodo,Aceleracion
0.01,0.41250000000000003
0.02,0.41250000000000003
0.03,0.41250000000000003
0.0303,0.41250000000000003
0.04,0.4937625
0.05,0.570075
0.06,0.6414375
0.07,0.7086749999999999
0.08,0.7726125
0.09,0.8340749999999999
0.1,0.8926499999999999
0.11,0.9495750000000001
0.12,1.0044374999999999
0.125,1.03125
0.15,1.03125
0.2,1.03125
0.25,1.03125
0.3,1.03125
0.351,1.03125
0.383,1.03125
0.409,1.03125
0.45,1.03125
0.45,1.03125
0.485,1.03125
0.5,1.03125
0.545,1.03125
0.6,0.9376125000000001
0.8,0.7033125
1.0,0.56265
1.1,0.5115000000000001
1.2,0.4686
1.3,0.43271249999999994
1.4,0.401775
1.5,0.37496250000000003
2.0,0.281325
2.438,0.2305875
2.5,0.22481250000000003
2.828,0.198825
3.0,0.1876875
3.105,0.1810875
3.441,0.16335
3.552,0.15839999999999999
3.573,0.1563375
4.0,0.1249875
5.0,0.08002499999999999
6.0,0.0556875
7.0,0.0408375
8.0,0.03135
9.0,0.02475
10.0,0.019799999999999998
