estacion,suelo,zona
AALA,S3,Z3
AANG,S2,Z3
AATN,S4,Z3
AAZR,S3,Z3
ABJT,S3,Z3
ACLH,S3,Z2
ACLS,S3,Z2
ACOY,S3,Z3
AFTN,,
AGRE,S3,Z3
AGRH,S3,Z3
AGTS,S3,Z2
AHA1,S3,Z3
AHA4,,
AJCR,S2,Z3
ALCA,S2,Z3
AMTY,S2,Z2
AORT,S2,Z3
APMR,S4,Z3
ARCT,S2,Z3
ASCH,S2,Z3
ASRH,S4,Z3
ASRM,S4,Z3
AUPA,S4,Z2
AUPH,S4,Z2
BFB0,S2,Z3
BFB1,,
BFR0,S2,Z3
BFR1,S2,Z3
BJL0,S2,
BJL1,,
CAVM,S4,Z3
CCDN,S3,Z3
CCOL,,
CCOT,S2,
CCRT,S4,Z3
CORS,S2,Z3
CPAR,S3,Z3
CRUC,S2,Z4
CSLG,S2,Z3
CSRH,S4,Z3
CTBA,S2,
CTCR,,
CTEC,S3,Z3
CTOB,S3,Z3
CWAH,S3,Z3
CWH1,S3,Z3
CWH5,S3,Z3
DUNO,,
EART,S3,
GCNS,S3,Z3
GJTS,S3,Z3
GLCR,S1,Z3
GLIB,S4,Z3
GLIH,S2,Z3
GNH1,,
GNH5,,
GNSR,S2,Z4
GNYA,S1,Z4
GNYH,S1,Z4
GSTC,S2,Z4
GSTR,S2,Z3
HCPD,S3,Z3
HGNR,S2,Z3
HHDA,S2,Z3
HPVJ,S3,Z2
HSJM,S2,Z3
HSV1,,
HSV6,,
HVRG,S1,Z3
INDI,S2,
JACO,,
LBAT,S3,Z3
LCAR,S4,Z2
LGMO,S3,Z3
LGPA,S3,Z3
LGPI,S2,Z3
LLIH,S4,Z3
LLIM,S3,Z3
LLMO,S3,Z3
LSQR,S2,Z3
LTAL,S4,Z3
LVLS,S2,Z3
ORTG,S2,Z4
PBNA,S3,Z3
PBNH,S3,Z3
PCDA,S3,Z3
PCNH,S3,Z4
PCNL,S1,
PCOB,S2,Z4
PEZE,,
PFNR,S3,
PGOL,S2,Z4
PGTO,S3,Z4
PIRO,S3,Z4
PJCO,S3,Z4
PJCR,S3,Z4
PJMN,S3,Z4
PLPM,S3,
PLRL,S3,Z4
POSA,S4,Z4
POSH,S3,Z4
PPAH,S4,Z4
PPLN,S2,Z4
PPQR,S3,Z4
PPTG,S3,Z3
PPUN,S4,Z3
PQSH,S3,Z4
PQUE,S3,Z4
PUVT,S3,Z4
RIFO,S2,Z3
RIOS,S2,Z4
SASR,S2,Z3
SBEB,S2,Z3
SCB0,,
SCB6,,
SCNE,S2,Z3
SCOH,S2,Z3
SESC,S3,Z3
SFCL,S3,Z3
SFRA,S2,Z3
SGH1,S3,
SGH5,S3,
SGTS,S3,Z3
SHTH,S3,Z3
SIAC,S3,Z3
SICP,S3,Z3
SION,,
SISD,S2,Z3
SJUD,S1,Z3
SLCJ,S3,Z3
SLMA,S3,Z3
SMOR,S2,
SNH1,S3,
SNH5,S3,
SPCH,S3,Z3
SPCL,S3,Z3
SRVS,S3,Z3
SSBN,S3,Z3
SSMD,S3,Z3
STCH,S3,Z3
STH1,,
STH6,,
STRN,S3,Z3
SUN1,S3,Z3
SUN2,S3,Z3
SUN3,S3,Z3
SUN5,S3,Z3
SUN6,S3,Z3
SUN7,S3,Z3
SUN8,S3,Z3
SUN9,S3,Z3
SUNL,S3,Z3
TAA2,S2,Z3
TAS4,S2,Z3
TC00,,
TC07,,
TC15,,
TC21,,
TC29,,
TL13,,
TLS1,,
TS04,,
TS08,,
TS13,,
TSS1,,
