Periodo,Aceleracion
0.010,0.4
0.020,0.4
0.030,0.4
0.0303,0.4
0.040,0.4788
0.050,0.5528
0.060,0.622
0.070,0.6872
0.080,0.7492
0.090,0.8088
0.100,0.8656
0.110,0.9208
0.120,0.974
0.125,1
0.150,1
0.200,1
0.250,1
0.257,1
0.281,1
0.300,1
0.300,1
0.330,1
0.356,1
0.400,1
0.450,0.8888
0.500,0.8
0.600,0.6668
0.800,0.5
1.000,0.4
1.100,0.3636
1.200,0.3332
1.300,0.3076
1.400,0.2856
1.500,0.2668
1.788,0.2236
2.000,0.2
2.074,0.1928
2.277,0.1756
2.500,0.16
2.523,0.1584
2.604,0.1536
2.620,0.1516
3.000,0.1156
4.000,0.0652
5.000,0.0416
6.000,0.0288
7.000,0.0212
8.000,0.0164
9.000,0.0128
10.000,0.0104
