estacion,suelo
PCNL,S1
ASCS,S2
ASRM,S4
CCDN,S3
SGTS,S3
CPAR,S3
SISD,S2
CTBA,S2
SLPF,S2
GLIB,S4
GNYA,S1
SPCL,S3
GSTC,S2
GTGA,S1
LLIM,S3
PCOB,S2
HVRG,S1
AALA,S3
AFBR,s3
AFRA,s2
AGRE,s3
APMR,S4
CCRT,S4
AUPA,S4
AMTR,S4
HHDA,S2
GCNS,S3
LGPI,S2
LSQR,S2
LTAL,S4
PBNA,S3
PGOL,S2
PJAC,S3
PLRL,S3
POSA,S4
PPUN,S4
PQUE,S3
SIAC,S3
SJUD,S1
SSBN,S3
SSMD,S3
PJMN,S3
ACAR,s1
AORT,S2
CSRH,S4
CTRH,S3
CTEC,S3
CTUH,S3
HCPD,S3
PCDA,S3
SCCH,S3
SCGH,S3
SHTH,S3
PPTG,S3
PSVT,S3
HPVJ,S3
PPQR,S3
GNSR,S2
GSTR,S2
STRN,S3
ACLS,s3
LCAR,S4
LBTN,S3
CCHI,S1
GLCR,S1
CHLM,S2
RALT,s2
SFRA,S2
SMSO,S1
LMOI,""
GJTS,S3
PCNH,S3
LLIH,S4
PQSH,S3
SISH,S2
SCNE,S2
SLMA,S3
LVES,S2
SASR,S2
CORS,S2
GSTZ,S2
PLPM,S3
AAZR,s3
ABJT,S3
TC00,""
TC07,""
TC15,""
TC21,""
TC29,""
AALB,s3
AATN,S4
GNAN,S2
ACOY,s3
LGMO,S3
LGPL,S3
CAVM,S4
STCH,S3
SICP,S3
HGNR,S2
GNAR,S4
AGTS,s3
SPCH,S3
GLIH,S2
CTOB,S3
SCAS,S4
ALCA,S2
PPAR,S4
ACLH,s3
GBAG,S3
AANG,S2
AUPH,S4
AGRH,s3
ASRH,S4
ASCH,S2
GSAM,S2
SCOH,S2
ASIA,S3
POSH,S3
GNYH,S1
CSLG,S2
SESC,S3
SBEB,S2
PPLN,S2
PFAL,S4
PJMH,S2
TJ01,""
GNH5,""
TJS2,""
AHA1,s3
TJ05,""
TJ15,""
HSV6,""
AHA4,""
HSV1,""
GNH1,""
PBNH,S3
BJL0,S2
BJL1,""
HSJM,S2
PPUH,S4
STH1,""
TS08,""
TS04,""
TS13,""
TSS1,""
TL13,""
PMAT,S3
PUVT,S3
PJCO,S3
ARCT,S2
TL02,""
PJCH,""
TL06,""
TLS1,""
STH6,""
TBS2,""
TB11,""
TB05,""
BFB0,S2
PJCR,S3
AJCR,S2
AMTY,S2
BFB1,""
SUN0,"S3"
SUN1,"S3"
SUN2,"S3"
SUN3,"S3"
SUN4,"S3"
SUN5,"S3"
SUN6,"S3"
SUN7,"S3"
SUN8,"S3"
SUN9,"S3"
SUNL,"S3"
PGTO,S3
PFNR,S3
LLMO,S3
LBAT,S3
SCB6,""
SCB0,""
PIRO,S3
AFOR,s4
PRCH,S2
SLCJ,S3
SNH1,S3
SNH5,S3
SGH1,S3
SGH5,S3
SFCL,S3
BFR0,s2
BFR1,s2
LGPA,S3
PPAH,s4
SION,""
COVE,S2
CRUC,S2
CTCR,""
EART,S3
INDI,S2
ORTG,S2
RIFO,s2
RIOS,s2
SARO,S2
TOAL,s2
CWAH,S3
LIS1,""
CWH1,s3
CWH5,s3
JACO,""
TIGR,""
PEZE,""
DUNO,""
PNPB,""
RMOI,s2
RGAR,s2
RTUR,s2
HZTE,s2
HRIU,s2
SRVS,S3
AFTN,""
CCOL,""
TAS4,s2
TAA2,s2
LVLS,s2
